time,data
2026/02/02 23:43:15.366261949,False
2026/02/02 23:43:15.371437113,False
2026/02/02 23:43:15.376388579,False
2026/02/02 23:43:15.382378028,False
2026/02/02 23:43:15.386505951,False
2026/02/02 23:43:15.391351425,False
2026/02/02 23:43:15.396567972,False
2026/02/02 23:43:15.401369986,False
2026/02/02 23:43:15.406638100,False
2026/02/02 23:43:15.411910546,False
2026/02/02 23:43:15.416906317,False
2026/02/02 23:43:15.422176810,False
2026/02/02 23:43:15.427172789,False
2026/02/02 23:43:15.432838300,False
2026/02/02 23:43:15.437756433,False
2026/02/02 23:43:15.442835883,False
2026/02/02 23:43:15.448233671,False
2026/02/02 23:43:15.453292724,False
2026/02/02 23:43:15.458073002,False
2026/02/02 23:43:15.463234420,False
2026/02/02 23:43:15.468334479,False
2026/02/02 23:43:15.474032275,False
2026/02/02 23:43:15.478744684,False
2026/02/02 23:43:15.484205099,False
2026/02/02 23:43:15.489330573,False
2026/02/02 23:43:15.494766729,False
2026/02/02 23:43:15.499458619,False
2026/02/02 23:43:15.505074272,False
2026/02/02 23:43:15.509974608,False
2026/02/02 23:43:15.515397149,False
2026/02/02 23:43:15.520644548,False
2026/02/02 23:43:15.526119168,False
2026/02/02 23:43:15.531033345,False
2026/02/02 23:43:15.537377523,False
2026/02/02 23:43:15.541419060,False
2026/02/02 23:43:15.546286022,False
2026/02/02 23:43:15.551298830,False
2026/02/02 23:43:15.556918504,False
2026/02/02 23:43:15.561496732,False
2026/02/02 23:43:15.566545254,False
2026/02/02 23:43:15.572270961,False
2026/02/02 23:43:15.577601569,False
2026/02/02 23:43:15.583014346,False
2026/02/02 23:43:15.588179421,False
2026/02/02 23:43:15.593602310,False
2026/02/02 23:43:15.598195603,False
2026/02/02 23:43:15.603237586,False
2026/02/02 23:43:15.608390423,False
2026/02/02 23:43:15.613576219,False
2026/02/02 23:43:15.618297586,False
2026/02/02 23:43:15.623891317,False
2026/02/02 23:43:15.628861089,False
2026/02/02 23:43:15.635041805,False
2026/02/02 23:43:15.639229398,False
2026/02/02 23:43:15.644342006,False
2026/02/02 23:43:15.649334052,False
2026/02/02 23:43:15.654782243,False
2026/02/02 23:43:15.659334881,False
2026/02/02 23:43:15.664696267,False
2026/02/02 23:43:15.669644841,False
2026/02/02 23:43:15.675224894,False
2026/02/02 23:43:15.679962519,False
2026/02/02 23:43:15.684952638,False
2026/02/02 23:43:15.690600916,False
2026/02/02 23:43:15.695704610,False
2026/02/02 23:43:15.701082064,False
2026/02/02 23:43:15.706036237,False
2026/02/02 23:43:15.711046233,False
2026/02/02 23:43:15.716649103,False
2026/02/02 23:43:15.721771507,False
2026/02/02 23:43:15.726351353,False
2026/02/02 23:43:15.731850248,False
2026/02/02 23:43:15.737077960,False
2026/02/02 23:43:15.741883229,False
2026/02/02 23:43:15.746964053,False
2026/02/02 23:43:15.752489366,False
2026/02/02 23:43:15.757591945,False
2026/02/02 23:43:15.762531656,False
2026/02/02 23:43:15.767500991,False
2026/02/02 23:43:15.773341559,False
2026/02/02 23:43:15.777978862,False
2026/02/02 23:43:15.783017564,False
2026/02/02 23:43:15.788187924,False
2026/02/02 23:43:15.793681702,False
2026/02/02 23:43:15.798630938,False
2026/02/02 23:43:15.804163114,False
2026/02/02 23:43:15.809094982,False
2026/02/02 23:43:15.814446641,False
2026/02/02 23:43:15.819274690,False
2026/02/02 23:43:15.824731606,False
2026/02/02 23:43:15.829758730,False
2026/02/02 23:43:15.835209621,False
2026/02/02 23:43:15.840414826,False
2026/02/02 23:43:15.845273042,False
2026/02/02 23:43:15.850742230,False
2026/02/02 23:43:15.855916467,False
2026/02/02 23:43:15.860534927,False
2026/02/02 23:43:15.865929980,False
2026/02/02 23:43:15.870965514,False
2026/02/02 23:43:15.876438909,False
2026/02/02 23:43:15.881870365,False
2026/02/02 23:43:15.886631134,False
2026/02/02 23:43:15.891498766,False
2026/02/02 23:43:15.896886362,False
2026/02/02 23:43:15.901671945,False
2026/02/02 23:43:15.906905225,False
2026/02/02 23:43:15.912273784,False
2026/02/02 23:43:15.917262952,False
2026/02/02 23:43:15.922674286,False
2026/02/02 23:43:15.927433448,False
2026/02/02 23:43:15.932963440,False
2026/02/02 23:43:15.938020196,False
2026/02/02 23:43:15.943235909,False
2026/02/02 23:43:15.948279919,False
2026/02/02 23:43:15.953955364,False
2026/02/02 23:43:15.958562108,False
2026/02/02 23:43:15.963855639,False
2026/02/02 23:43:15.968859335,False
2026/02/02 23:43:15.974433098,False
2026/02/02 23:43:15.979196770,False
2026/02/02 23:43:15.984440641,False
2026/02/02 23:43:15.989583863,False
2026/02/02 23:43:15.994908927,False
2026/02/02 23:43:16.456743,False
2026/02/02 23:43:16.5464188,False
2026/02/02 23:43:16.10704364,False
2026/02/02 23:43:16.15458478,False
2026/02/02 23:43:16.20359778,False
2026/02/02 23:43:16.25587656,False
2026/02/02 23:43:16.30583535,False
2026/02/02 23:43:16.36185294,False
