time,header,axes,buttons
2026/01/30 15:16:36.235154198,"{'stamp': {'secs': 1769760996, 'nsecs': 235080168}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:36.334802480,"{'stamp': {'secs': 1769760996, 'nsecs': 334727929}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:36.384878467,"{'stamp': {'secs': 1769760996, 'nsecs': 384779130}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:36.484704906,"{'stamp': {'secs': 1769760996, 'nsecs': 484626087}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:36.584484617,"{'stamp': {'secs': 1769760996, 'nsecs': 584383766}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:36.684266953,"{'stamp': {'secs': 1769760996, 'nsecs': 684149110}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:36.735149554,"{'stamp': {'secs': 1769760996, 'nsecs': 735059775}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:36.834834266,"{'stamp': {'secs': 1769760996, 'nsecs': 834734928}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:36.934450587,"{'stamp': {'secs': 1769760996, 'nsecs': 934317436}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2026/01/30 15:16:37.36115862,"{'stamp': {'secs': 1769760997, 'nsecs': 36044808}, 'frame_id': 'joy'}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
