Timestamp,Total_Steps,Fitness_Score,Cost_of_Transport,Average_Speed_m_s,Path_Straightness,Average_Power_W,Stability_Index,Total_Energy_J
2026-07-24 03:50:16,12000,8.9406,0.007577,0.213351,0.846614,518.448620,0.145038,31106.917171
2026-07-24 03:52:00,12000,8.9406,0.007577,0.213351,0.846614,518.448620,0.145038,31106.917171
2026-07-24 03:53:31,12000,8.9406,0.015445,0.105780,0.357798,523.949087,0.323005,31436.945246
2026-07-24 03:54:46,12000,8.9406,0.009928,0.164497,0.702862,523.719243,0.515156,31423.154555
