Timestamp,Total_Steps,Fitness_Score,Cost_of_Transport,Average_Speed_m_s,Path_Straightness,Average_Power_W,Stability_Index,Total_Energy_J
2026-07-24 02:56:57,12000,49.2511,0.000033,0.517965,0.532152,520.301615,0.318202,31218.096921
2026-07-24 02:58:17,12000,47.5362,0.000116,0.149166,0.479467,530.003205,0.663858,31800.192305
2026-07-24 02:59:44,12000,39.2110,0.000077,0.180240,0.215546,425.639415,0.147224,25538.364909
